"統計年月","縣市","行政區域","出生數","出生數.男","出生數.女","死亡數","死亡數.男","死亡數.女","結婚對數","離婚對數"
10401,"高雄市","苓雅區意誠里",7,4,3,4,4,0,3,6
10401,"高雄市","苓雅區英明里",2,1,1,1,1,0,2,0
10401,"高雄市","苓雅區永康里",0,0,0,11,8,3,3,1
10401,"高雄市","苓雅區正大里",8,4,4,3,2,1,6,1
10401,"高雄市","苓雅區正道里",1,0,1,2,1,1,6,2
10401,"高雄市","苓雅區正仁里",4,0,4,4,1,3,5,0
10401,"高雄市","苓雅區正文里",4,4,0,4,3,1,1,1
10401,"高雄市","苓雅區正心里",3,1,2,2,1,1,7,1
10401,"高雄市","苓雅區正言里",2,2,0,2,2,0,4,1
10401,"高雄市","苓雅區正義里",3,2,1,5,3,2,3,0
10401,"高雄市","苓雅區中正里",1,1,0,1,1,0,6,2
10401,"高雄市","苓雅區奏捷里",1,1,0,1,1,0,3,1
10401,"高雄市","六龜區寶來里",0,0,0,0,0,0,0,1
10401,"高雄市","六龜區大津里",0,0,0,1,1,0,0,1
10401,"高雄市","六龜區荖濃里",1,0,1,4,2,2,0,1
10401,"高雄市","六龜區六龜里",0,0,0,1,0,1,0,0
10401,"高雄市","六龜區文武里",3,3,0,2,0,2,1,0
10401,"高雄市","六龜區新發里",0,0,0,3,3,0,0,0
10401,"高雄市","六龜區新寮里",0,0,0,4,3,1,0,0
10401,"高雄市","六龜區新威里",1,1,0,1,1,0,1,0
10401,"高雄市","六龜區新興里",1,1,0,0,0,0,1,0
10401,"高雄市","六龜區興龍里",0,0,0,3,1,2,1,1
10401,"高雄市","六龜區義寶里",3,2,1,1,0,1,1,1
10401,"高雄市","六龜區中興里",2,1,1,4,2,2,1,0
10401,"高雄市","路竹區北嶺里",0,0,0,2,2,0,2,0
10401,"高雄市","路竹區頂寮里",4,1,3,6,1,5,0,0
10401,"高雄市","路竹區後鄉里",1,0,1,1,0,1,0,0
10401,"高雄市","路竹區甲北里",1,1,0,1,0,1,1,0
10401,"高雄市","路竹區甲南里",1,1,0,6,2,4,5,2
10401,"高雄市","路竹區三爺里",1,1,0,1,0,1,2,1
10401,"高雄市","路竹區社東里",4,1,3,7,5,2,5,0
10401,"高雄市","路竹區社南里",12,10,2,3,2,1,4,2
10401,"高雄市","路竹區社西里",7,2,5,0,0,0,3,0
10401,"高雄市","路竹區社中里",0,0,0,3,2,1,1,0
10401,"高雄市","路竹區文北里",9,5,4,5,3,2,5,0
10401,"高雄市","路竹區文南里",1,0,1,3,2,1,4,1
10401,"高雄市","路竹區下坑里",2,1,1,7,3,4,1,3
10401,"高雄市","路竹區新達里",2,1,1,1,0,1,1,0
10401,"高雄市","路竹區鴨寮里",4,3,1,2,1,1,2,1
10401,"高雄市","路竹區竹東里",5,3,2,3,2,1,17,2
10401,"高雄市","路竹區竹滬里",1,1,0,5,3,2,0,0
10401,"高雄市","路竹區竹南里",5,5,0,4,3,1,3,1
10401,"高雄市","路竹區竹西里",5,4,1,4,0,4,6,0
10401,"高雄市","路竹區竹園里",3,3,0,2,1,1,5,2
10401,"高雄市","茂林區多納里",2,2,0,2,2,0,0,0
10401,"高雄市","茂林區茂林里",2,1,1,1,0,1,4,1
10401,"高雄市","茂林區萬山里",0,0,0,2,1,1,1,0
10401,"高雄市","美濃區德興里",3,1,2,5,4,1,3,2
10401,"高雄市","美濃區東門里",2,0,2,3,3,0,1,0
10401,"高雄市","美濃區福安里",4,2,2,13,8,5,5,1
10401,"高雄市","美濃區廣德里",0,0,0,8,3,5,3,0
10401,"高雄市","美濃區廣林里",3,2,1,5,3,2,1,0
10401,"高雄市","美濃區合和里",3,1,2,7,3,4,4,0
10401,"高雄市","美濃區吉東里",2,1,1,6,4,2,2,3
10401,"高雄市","美濃區吉和里",2,1,1,4,3,1,4,1
10401,"高雄市","美濃區吉洋里",4,1,3,5,3,2,0,0
10401,"高雄市","美濃區龍肚里",3,2,1,6,3,3,2,0
10401,"高雄市","美濃區龍山里",0,0,0,7,3,4,2,0
10401,"高雄市","美濃區祿興里",0,0,0,6,5,1,1,2
10401,"高雄市","美濃區瀰濃里",1,0,1,6,2,4,3,2
10401,"高雄市","美濃區清水里",1,0,1,4,2,2,0,1
10401,"高雄市","美濃區獅山里",1,0,1,8,6,2,1,1
10401,"高雄市","美濃區泰安里",1,0,1,4,2,2,1,3
10401,"高雄市","美濃區興隆里",1,1,0,1,1,0,2,0
10401,"高雄市","美濃區中壇里",3,1,2,5,3,2,1,1
10401,"高雄市","美濃區中圳里",0,0,0,7,4,3,3,1
10401,"高雄市","彌陀區光和里",0,0,0,1,1,0,2,0
10401,"高雄市","彌陀區過港里",0,0,0,3,3,0,2,0
10401,"高雄市","彌陀區海尾里",0,0,0,2,0,2,2,0
10401,"高雄市","彌陀區舊港里",4,3,1,2,0,2,3,0
