"有偶人數","有偶比例","行政區域","統計年月","縣市"
94,52.22,"內門區永吉里",10407,"高雄市"
198,53.95,"內門區永富里",10407,"高雄市"
78,43.82,"內門區永興里",10407,"高雄市"
110,57.89,"內門區石坑里",10407,"高雄市"
164,63.57,"內門區光興里",10407,"高雄市"
119,63.64,"內門區東埔里",10407,"高雄市"
152,56.72,"內門區金竹里",10407,"高雄市"
216,61.54,"內門區溝坪里",10407,"高雄市"
91,57.59,"內門區瑞山里",10407,"高雄市"
403,60.06,"內門區觀亭里",10407,"高雄市"
416,55.54,"杉林區上平里",10407,"高雄市"
420,50.85,"杉林區大愛里",10407,"高雄市"
416,56.68,"杉林區月眉里",10407,"高雄市"
321,60.23,"杉林區月美里",10407,"高雄市"
164,51.41,"杉林區木梓里",10407,"高雄市"
136,44.01,"杉林區杉林里",10407,"高雄市"
306,48.65,"杉林區集來里",10407,"高雄市"
369,50.97,"杉林區新庄里",10407,"高雄市"
379,57.77,"甲仙區大田里",10407,"高雄市"
135,55.79,"甲仙區小林里",10407,"高雄市"
233,57.25,"甲仙區西安里",10407,"高雄市"
167,51.7,"甲仙區和安里",10407,"高雄市"
112,50.45,"甲仙區東安里",10407,"高雄市"
136,51.91,"甲仙區關山里",10407,"高雄市"
131,51.98,"甲仙區寶隆里",10407,"高雄市"
99,59.64,"六龜區大津里",10407,"高雄市"
352,49.44,"六龜區中興里",10407,"高雄市"
220,45.17,"六龜區六龜里",10407,"高雄市"
334,45.38,"六龜區文武里",10407,"高雄市"
302,45.69,"六龜區荖濃里",10407,"高雄市"
215,60.22,"六龜區新威里",10407,"高雄市"
265,49.72,"六龜區新發里",10407,"高雄市"
165,55.56,"六龜區新寮里",10407,"高雄市"
169,55.05,"六龜區新興里",10407,"高雄市"
285,55.34,"六龜區義寶里",10407,"高雄市"
187,48.2,"六龜區興龍里",10407,"高雄市"
272,55.74,"六龜區寶來里",10407,"高雄市"
549,63.1,"美濃區中圳里",10407,"高雄市"
497,63.23,"美濃區中壇里",10407,"高雄市"
309,57.33,"美濃區吉和里",10407,"高雄市"
407,60.48,"美濃區吉東里",10407,"高雄市"
436,59.32,"美濃區吉洋里",10407,"高雄市"
611,58.3,"美濃區合和里",10407,"高雄市"
317,56.51,"美濃區東門里",10407,"高雄市"
448,66.57,"美濃區泰安里",10407,"高雄市"
413,60.82,"美濃區清水里",10407,"高雄市"
612,62.32,"美濃區獅山里",10407,"高雄市"
641,62.48,"美濃區祿興里",10407,"高雄市"
639,59.66,"美濃區福安里",10407,"高雄市"
376,58.57,"美濃區廣林里",10407,"高雄市"
337,61.27,"美濃區廣德里",10407,"高雄市"
352,60.79,"美濃區德興里",10407,"高雄市"
322,61.69,"美濃區興隆里",10407,"高雄市"
545,61.93,"美濃區龍山里",10407,"高雄市"
404,58.98,"美濃區龍肚里",10407,"高雄市"
599,57.49,"美濃區瀰濃里",10407,"高雄市"
680,60.39,"楠梓區久昌里",10407,"高雄市"
520,55.79,"楠梓區大昌里",10407,"高雄市"
585,63.17,"楠梓區中和里",10407,"高雄市"
733,58.88,"楠梓區中陽里",10407,"高雄市"
435,67.44,"楠梓區中興里",10407,"高雄市"
1578,58.62,"楠梓區五常里",10407,"高雄市"
1356,55.71,"楠梓區仁昌里",10407,"高雄市"
2328,60.22,"楠梓區加昌里",10407,"高雄市"
522,61.05,"楠梓區玉屏里",10407,"高雄市"
906,63.09,"楠梓區宏昌里",10407,"高雄市"
482,72.92,"楠梓區宏南里",10407,"高雄市"
771,65.34,"楠梓區宏榮里",10407,"高雄市"
691,63.63,"楠梓區宏毅里",10407,"高雄市"
554,56.88,"楠梓區秀昌里",10407,"高雄市"
792,57.64,"楠梓區享平里",10407,"高雄市"
544,59.78,"楠梓區和昌里",10407,"高雄市"
1183,63.5,"楠梓區東寧里",10407,"高雄市"
726,60.35,"楠梓區金田里",10407,"高雄市"
723,57.84,"楠梓區建昌里",10407,"高雄市"
364,57.14,"楠梓區泰昌里",10407,"高雄市"
892,62.12,"楠梓區國昌里",10407,"高雄市"
5935,65.81,"楠梓區清豐里",10407,"高雄市"
1487,70.54,"楠梓區盛昌里",10407,"高雄市"
1049,62.44,"楠梓區惠民里",10407,"高雄市"
743,44.44,"楠梓區惠楠里",10407,"高雄市"
1334,58.38,"楠梓區惠豐里",10407,"高雄市"
921,60.27,"楠梓區隆昌里",10407,"高雄市"
1005,62.42,"楠梓區瑞屏里",10407,"高雄市"
356,55.89,"楠梓區稔田里",10407,"高雄市"
1158,63.14,"楠梓區裕昌里",10407,"高雄市"
541,63.27,"楠梓區福昌里",10407,"高雄市"
4107,59.97,"楠梓區翠屏里",10407,"高雄市"
737,59.15,"楠梓區廣昌里",10407,"高雄市"
944,67.77,"楠梓區慶昌里",10407,"高雄市"
1181,64.68,"楠梓區興昌里",10407,"高雄市"
796,62.33,"楠梓區錦屏里",10407,"高雄市"
1822,66.96,"楠梓區藍田里",10407,"高雄市"
556,59.53,"旗山區三協里",10407,"高雄市"
250,56.82,"旗山區上洲里",10407,"高雄市"
303,56.74,"旗山區大山里",10407,"高雄市"
316,56.13,"旗山區大林里",10407,"高雄市"
607,57.21,"旗山區大德里",10407,"高雄市"
306,51.52,"旗山區中正里",10407,"高雄市"
211,54.1,"旗山區中洲里",10407,"高雄市"
53,60.92,"旗山區中寮里",10407,"高雄市"
548,56.85,"旗山區太平里",10407,"高雄市"
836,59.5,"旗山區永和里",10407,"高雄市"
418,56.33,"旗山區竹峰里",10407,"高雄市"
527,60.57,"旗山區東平里",10407,"高雄市"
242,52.84,"旗山區東昌里",10407,"高雄市"
320,56.34,"旗山區南洲里",10407,"高雄市"
493,54.84,"旗山區南勝里",10407,"高雄市"
405,49.57,"旗山區湄洲里",10407,"高雄市"
374,52.6,"旗山區圓富里",10407,"高雄市"
198,55.77,"旗山區新光里",10407,"高雄市"
494,58.25,"旗山區瑞吉里",10407,"高雄市"
150,52.26,"旗山區廣福里",10407,"高雄市"
197,58.11,"旗山區鯤洲里",10407,"高雄市"
895,61.68,"梓官區大舍里",10407,"高雄市"
305,63.67,"梓官區中崙里",10407,"高雄市"
268,65.37,"梓官區同安里",10407,"高雄市"
186,54.07,"梓官區赤西里",10407,"高雄市"
498,56.66,"梓官區赤東里",10407,"高雄市"
448,59.65,"梓官區赤崁里",10407,"高雄市"
806,63.77,"梓官區典寶里",10407,"高雄市"
543,58.83,"梓官區信蚵里",10407,"高雄市"
527,58.3,"梓官區茄苳里",10407,"高雄市"
377,68.3,"梓官區梓平里",10407,"高雄市"
573,62.9,"梓官區梓和里",10407,"高雄市"
583,65.58,"梓官區梓信里",10407,"高雄市"
500,56.5,"梓官區梓義里",10407,"高雄市"
706,64.71,"梓官區智蚵里",10407,"高雄市"
426,51.89,"梓官區禮蚵里",10407,"高雄市"
476,60.03,"彌陀區文安里",10407,"高雄市"
325,63.23,"彌陀區光和里",10407,"高雄市"
461,59.95,"彌陀區南寮里",10407,"高雄市"
188,54.02,"彌陀區海尾里",10407,"高雄市"
232,59.18,"彌陀區過港里",10407,"高雄市"
241,55.15,"彌陀區漯底里",10407,"高雄市"
149,59.36,"彌陀區彌仁里",10407,"高雄市"
448,65.31,"彌陀區彌陀里",10407,"高雄市"
470,63.51,"彌陀區彌靖里",10407,"高雄市"
185,65.14,"彌陀區彌壽里",10407,"高雄市"
426,60.6,"彌陀區舊港里",10407,"高雄市"
505,60.12,"彌陀區鹽埕里",10407,"高雄市"
477,61.79,"永安區永安里",10407,"高雄市"
563,61.94,"永安區永華里",10407,"高雄市"
761,63.74,"永安區保寧里",10407,"高雄市"
718,63.6,"永安區新港里",10407,"高雄市"
936,60.94,"永安區維新里",10407,"高雄市"
118,57.28,"永安區鹽田里",10407,"高雄市"
250,55.07,"茄萣區大定里",10407,"高雄市"
393,54.51,"茄萣區白雲里",10407,"高雄市"
220,55.56,"茄萣區光定里",10407,"高雄市"
274,57.56,"茄萣區吉定里",10407,"高雄市"
259,56.55,"茄萣區和協里",10407,"高雄市"
689,61.52,"茄萣區保定里",10407,"高雄市"
1184,60.94,"茄萣區崎漏里",10407,"高雄市"
196,50.52,"茄萣區萬福里",10407,"高雄市"
394,61.95,"茄萣區嘉安里",10407,"高雄市"
269,53.48,"茄萣區嘉定里",10407,"高雄市"
242,52.38,"茄萣區嘉泰里",10407,"高雄市"
214,51.2,"茄萣區嘉福里",10407,"高雄市"
424,62.72,"茄萣區嘉樂里",10407,"高雄市"
956,67.51,"茄萣區嘉賜里",10407,"高雄市"
199,51.96,"茄萣區福德里",10407,"高雄市"
1015,67.35,"湖內區大湖里",10407,"高雄市"
504,56.25,"湖內區中賢里",10407,"高雄市"
602,67.26,"湖內區公舘里",10407,"高雄市"
224,64,"湖內區太爺里",10407,"高雄市"
282,60.26,"湖內區文賢里",10407,"高雄市"
261,63.35,"湖內區田尾里",10407,"高雄市"
174,57.81,"湖內區忠興里",10407,"高雄市"
267,60.41,"湖內區海山里",10407,"高雄市"
417,60.79,"湖內區海埔里",10407,"高雄市"
966,64.88,"湖內區湖內里",10407,"高雄市"
680,56.38,"湖內區湖東里",10407,"高雄市"
275,56.82,"湖內區逸賢里",10407,"高雄市"
647,64.89,"湖內區葉厝里",10407,"高雄市"
206,48.93,"湖內區劉家里",10407,"高雄市"
200,59,"路竹區三爺里",10407,"高雄市"
566,62.54,"路竹區下坑里",10407,"高雄市"
770,66.15,"路竹區文北里",10407,"高雄市"
629,69.12,"路竹區文南里",10407,"高雄市"
313,64.8,"路竹區北嶺里",10407,"高雄市"
468,64.11,"路竹區甲北里",10407,"高雄市"
741,65.87,"路竹區甲南里",10407,"高雄市"
571,65.03,"路竹區竹西里",10407,"高雄市"
1005,70.82,"路竹區竹東里",10407,"高雄市"
757,62.72,"路竹區竹南里",10407,"高雄市"
391,61.09,"路竹區竹園里",10407,"高雄市"
783,66.08,"路竹區竹滬里",10407,"高雄市"
205,57.1,"路竹區社中里",10407,"高雄市"
572,59.9,"路竹區社西里",10407,"高雄市"
423,61.22,"路竹區社東里",10407,"高雄市"
1246,71.69,"路竹區社南里",10407,"高雄市"
285,72.34,"路竹區後鄉里",10407,"高雄市"
290,63.04,"路竹區頂寮里",10407,"高雄市"
317,67.59,"路竹區新達里",10407,"高雄市"
520,68.97,"路竹區鴨寮里",10407,"高雄市"
490,66.67,"阿蓮區中路里",10407,"高雄市"
272,61.54,"阿蓮區玉庫里",10407,"高雄市"
291,56.73,"阿蓮區石安里",10407,"高雄市"
541,62.62,"阿蓮區和蓮里",10407,"高雄市"
1209,64.79,"阿蓮區阿蓮里",10407,"高雄市"
350,59.12,"阿蓮區青旗里",10407,"高雄市"
753,65.14,"阿蓮區南蓮里",10407,"高雄市"
203,68.81,"阿蓮區崗山里",10407,"高雄市"
633,62.3,"阿蓮區清蓮里",10407,"高雄市"
381,61.95,"阿蓮區復安里",10407,"高雄市"
