"縣市名稱","行政區域"
"高雄市","燕巢區安招里"
"高雄市","燕巢區角宿里"
"高雄市","燕巢區鳳雄里"
"高雄市","燕巢區金山里"
"高雄市","燕巢區東燕里"
"高雄市","燕巢區南燕里"
"高雄市","燕巢區西燕里"
"高雄市","燕巢區橫山里"
"高雄市","燕巢區深水里"
"高雄市","田寮區鹿埔里"
"高雄市","田寮區南安里"
"高雄市","田寮區大同里"
"高雄市","田寮區田寮里"
"高雄市","田寮區七星里"
"高雄市","田寮區崇德里"
"高雄市","田寮區西德里"
"高雄市","田寮區三和里"
"高雄市","田寮區古亭里"
"高雄市","田寮區新興里"
"高雄市","阿蓮區石安里"
"高雄市","阿蓮區中路里"
"高雄市","阿蓮區峯山里"
"高雄市","阿蓮區港後里"
"高雄市","阿蓮區崗山里"
"高雄市","阿蓮區阿蓮里"
"高雄市","阿蓮區清蓮里"
"高雄市","阿蓮區和蓮里"
"高雄市","阿蓮區青旗里"
"高雄市","阿蓮區復安里"
"高雄市","阿蓮區玉庫里"
"高雄市","阿蓮區南蓮里"
"高雄市","路竹區竹滬里"
"高雄市","路竹區頂寮里"
"高雄市","路竹區新達里"
"高雄市","路竹區後鄉里"
"高雄市","路竹區北嶺里"
"高雄市","路竹區社西里"
"高雄市","路竹區甲北里"
"高雄市","路竹區甲南里"
"高雄市","路竹區下坑里"
"高雄市","路竹區竹園里"
"高雄市","路竹區竹東里"
"高雄市","路竹區竹西里"
"高雄市","路竹區文北里"
"高雄市","路竹區文南里"
"高雄市","路竹區三爺里"
"高雄市","路竹區鴨寮里"
"高雄市","路竹區社東里"
"高雄市","路竹區社中里"
"高雄市","路竹區竹南里"
"高雄市","路竹區社南里"
"高雄市","湖內區海山里"
"高雄市","湖內區劉家里"
"高雄市","湖內區太爺里"
"高雄市","湖內區公舘里"
"高雄市","湖內區葉厝里"
"高雄市","湖內區大湖里"
"高雄市","湖內區田尾里"
"高雄市","湖內區湖內里"
"高雄市","湖內區海埔里"
"高雄市","湖內區文賢里"
"高雄市","湖內區中賢里"
"高雄市","湖內區逸賢里"
"高雄市","湖內區忠興里"
"高雄市","湖內區湖東里"
"高雄市","茄萣區福德里"
"高雄市","茄萣區萬福里"
"高雄市","茄萣區白雲里"
"高雄市","茄萣區嘉賜里"
"高雄市","茄萣區嘉安里"
"高雄市","茄萣區嘉定里"
"高雄市","茄萣區保定里"
"高雄市","茄萣區光定里"
"高雄市","茄萣區大定里"
"高雄市","茄萣區吉定里"
"高雄市","茄萣區嘉樂里"
"高雄市","茄萣區嘉泰里"
"高雄市","茄萣區嘉福里"
"高雄市","茄萣區和協里"
"高雄市","茄萣區崎漏里"
"高雄市","永安區永安里"
"高雄市","永安區永華里"
"高雄市","永安區新港里"
"高雄市","永安區鹽田里"
"高雄市","永安區保寧里"
"高雄市","永安區維新里"
"高雄市","彌陀區光和里"
"高雄市","彌陀區彌靖里"
"高雄市","彌陀區彌仁里"
