YM,CODEBASE,kW,COUNT,CITY,AREA,CODE1,CODE2,VILLCODE
10506,A6312-0402-00,59740,90,臺北市,北投區,A6312-32-002,A6312-32,A6312-024-00
10507,A6312-0403-00,66,1,臺北市,北投區,A6312-07-011,A6312-07,A6312-037-00
10506,A6312-0403-00,13074,10,臺北市,北投區,A6312-07-011,A6312-07,A6312-037-00
10507,A6312-0404-00,62331,9,臺北市,北投區,A6312-29-005,A6312-29,A6312-021-00
10506,A6312-0404-00,33555,9,臺北市,北投區,A6312-29-005,A6312-29,A6312-021-00
10507,A6312-0405-00,32504,7,臺北市,北投區,A6312-28-004,A6312-28,A6312-022-00
10506,A6312-0405-00,223299,241,臺北市,北投區,A6312-28-004,A6312-28,A6312-022-00
10507,A6312-0406-00,8480,4,臺北市,北投區,A6312-30-004,A6312-30,A6312-009-00
10506,A6312-0406-00,197623,225,臺北市,北投區,A6312-30-004,A6312-30,A6312-009-00
10506,A6312-0407-00,22480,38,臺北市,北投區,A6312-27-005,A6312-27,A6312-022-00
10507,A6312-0408-00,57092,5,臺北市,北投區,A6312-31-001,A6312-31,A6312-024-00
10506,A6312-0408-00,74632,87,臺北市,北投區,A6312-31-001,A6312-31,A6312-024-00
10507,A6312-0409-00,1840,1,臺北市,北投區,A6312-28-004,A6312-28,A6312-022-00
10506,A6312-0409-00,11459,14,臺北市,北投區,A6312-28-004,A6312-28,A6312-022-00
10507,A6312-0410-00,27867,13,臺北市,北投區,A6312-41-002,A6312-41,A6312-020-00
10507,A6312-0411-00,90014,102,臺北市,北投區,A6312-35-003,A6312-35,A6312-025-00
10506,A6312-0411-00,40,1,臺北市,北投區,A6312-35-003,A6312-35,A6312-025-00
10507,A6312-0412-00,27240,2,臺北市,北投區,A6312-26-004,A6312-26,A6312-037-00
10506,A6312-0412-00,107303,115,臺北市,北投區,A6312-26-004,A6312-26,A6312-037-00
10507,A6312-0413-00,362,1,臺北市,北投區,A6312-27-006,A6312-27,A6312-022-00
10506,A6312-0413-00,26546,26,臺北市,北投區,A6312-27-006,A6312-27,A6312-022-00
10507,A6312-0414-00,44427,6,臺北市,北投區,A6312-27-007,A6312-27,A6312-022-00
10506,A6312-0414-00,160411,154,臺北市,北投區,A6312-27-007,A6312-27,A6312-022-00
10506,A6312-0415-00,22342,11,臺北市,北投區,A6312-32-006,A6312-32,A6312-024-00
10507,A6312-0416-00,3480,2,臺北市,北投區,A6312-30-005,A6312-30,A6312-009-00
10506,A6312-0416-00,115628,165,臺北市,北投區,A6312-30-005,A6312-30,A6312-009-00
10507,A6312-0417-00,28560,2,臺北市,北投區,A6312-27-008,A6312-27,A6312-021-00
10506,A6312-0417-00,151384,122,臺北市,北投區,A6312-27-008,A6312-27,A6312-021-00
10507,A6312-0418-00,1069,2,臺北市,北投區,A6312-31-002,A6312-31,A6312-024-00
10506,A6312-0418-00,107799,159,臺北市,北投區,A6312-31-002,A6312-31,A6312-024-00
10507,A6312-0419-00,4797,3,臺北市,北投區,A6312-28-003,A6312-28,A6312-022-00
10506,A6312-0419-00,108103,163,臺北市,北投區,A6312-28-003,A6312-28,A6312-022-00
10507,A6312-0420-00,3369,2,臺北市,北投區,A6312-28-006,A6312-28,A6312-022-00
10506,A6312-0420-00,48561,70,臺北市,北投區,A6312-28-006,A6312-28,A6312-022-00
10506,A6312-0421-00,2396,2,臺北市,北投區,A6312-28-004,A6312-28,A6312-022-00
10507,A6312-0422-00,84863,7,臺北市,北投區,A6312-31-001,A6312-31,A6312-024-00
10506,A6312-0422-00,138105,118,臺北市,北投區,A6312-31-001,A6312-31,A6312-024-00
10507,A6312-0423-00,2165,1,臺北市,北投區,A6312-41-001,A6312-41,A6312-009-00
10506,A6312-0423-00,73391,55,臺北市,北投區,A6312-41-001,A6312-41,A6312-009-00
10506,A6312-0424-00,54171,80,臺北市,北投區,A6312-28-005,A6312-28,A6312-022-00
10507,A6312-0425-00,2016,4,臺北市,北投區,A6312-29-005,A6312-29,A6312-021-00
10506,A6312-0425-00,220,1,臺北市,北投區,A6312-29-005,A6312-29,A6312-021-00
10506,A6312-0426-00,20184,24,臺北市,北投區,A6312-28-005,A6312-28,A6312-022-00
10507,A6312-0427-00,3320,1,臺北市,北投區,A6312-29-006,A6312-29,A6312-021-00
10506,A6312-0427-00,71833,86,臺北市,北投區,A6312-29-006,A6312-29,A6312-021-00
10507,A6312-0428-00,3998,1,臺北市,北投區,A6312-29-006,A6312-29,A6312-021-00
10506,A6312-0428-00,70946,67,臺北市,北投區,A6312-29-006,A6312-29,A6312-021-00
10506,A6312-0429-00,44654,39,臺北市,北投區,A6312-27-009,A6312-27,A6312-021-00
10507,A6312-0430-00,16927,6,臺北市,北投區,A6312-29-007,A6312-29,A6312-021-00
10506,A6312-0430-00,71546,89,臺北市,北投區,A6312-29-007,A6312-29,A6312-021-00
10507,A6312-0431-00,55867,3,臺北市,北投區,A6312-31-003,A6312-31,A6312-024-00
10506,A6312-0431-00,88965,83,臺北市,北投區,A6312-31-003,A6312-31,A6312-024-00
10507,A6312-0432-00,5000,1,臺北市,北投區,A6312-32-004,A6312-32,A6312-024-00
10506,A6312-0432-00,49606,64,臺北市,北投區,A6312-32-004,A6312-32,A6312-024-00
10507,A6312-0433-00,286,1,臺北市,北投區,A6312-26-005,A6312-26,A6312-037-00
10506,A6312-0433-00,36254,59,臺北市,北投區,A6312-26-005,A6312-26,A6312-037-00
10507,A6312-0434-00,1760,1,臺北市,北投區,A6312-28-007,A6312-28,A6312-022-00
10506,A6312-0434-00,60989,77,臺北市,北投區,A6312-28-007,A6312-28,A6312-022-00
10507,A6312-0435-00,6794,3,臺北市,北投區,A6312-28-006,A6312-28,A6312-022-00
10506,A6312-0435-00,136012,91,臺北市,北投區,A6312-28-006,A6312-28,A6312-022-00
10506,A6312-0436-00,46779,81,臺北市,北投區,A6312-29-007,A6312-29,A6312-021-00
10506,A6312-0437-00,187868,103,臺北市,北投區,A6312-30-006,A6312-30,A6312-009-00
10507,A6312-0438-00,11339,3,臺北市,北投區,A6312-28-008,A6312-28,A6312-022-00
10506,A6312-0438-00,91258,124,臺北市,北投區,A6312-28-008,A6312-28,A6312-022-00
10507,A6312-0439-00,3640,1,臺北市,北投區,A6312-30-007,A6312-30,A6312-009-00
10506,A6312-0439-00,78579,117,臺北市,北投區,A6312-30-007,A6312-30,A6312-009-00
10506,A6312-0440-00,61251,96,臺北市,北投區,A6312-26-006,A6312-26,A6312-037-00
10506,A6312-0441-00,38199,65,臺北市,北投區,A6312-30-007,A6312-30,A6312-009-00
10507,A6312-0443-00,66146,81,臺北市,北投區,A6312-35-004,A6312-35,A6312-020-00
10506,A6312-0444-00,126930,136,臺北市,北投區,A6312-32-005,A6312-32,A6312-024-00
10507,A6312-0445-00,14320,2,臺北市,北投區,A6312-34-001,A6312-34,A6312-021-00
10506,A6312-0445-00,81442,107,臺北市,北投區,A6312-34-001,A6312-34,A6312-021-00
10506,A6312-0447-00,32827,46,臺北市,北投區,A6312-34-002,A6312-34,A6312-021-00
10506,A6312-0448-00,47899,72,臺北市,北投區,A6312-34-002,A6312-34,A6312-021-00
10506,A6312-0449-00,100385,75,臺北市,北投區,A6312-30-008,A6312-30,A6312-009-00
10507,A6312-0449-00,215,1,臺北市,北投區,A6312-30-008,A6312-30,A6312-009-00
10507,A6312-0450-00,40,1,臺北市,北投區,A6312-32-003,A6312-32,A6312-034-00
10506,A6312-0450-00,5831,6,臺北市,北投區,A6312-32-003,A6312-32,A6312-034-00
10507,A6312-0451-00,93236,105,臺北市,文山區,A6312-35-005,A6312-35,A6312-020-00
10507,A6312-0452-00,5505,2,臺北市,北投區,A6312-31-004,A6312-31,A6312-024-00
10506,A6312-0452-00,122117,162,臺北市,北投區,A6312-31-004,A6312-31,A6312-024-00
10507,A6312-0453-00,209147,44,臺北市,北投區,A6312-31-005,A6312-31,A6312-024-00
10506,A6312-0453-00,282172,146,臺北市,北投區,A6312-31-005,A6312-31,A6312-024-00
