"縣市","行政區域","售電量度數","統計年月","教育程度總計","大學以上比例","大學比例","大學以下比例","納稅單位","綜合所得總額","綜合所得平均數","綜合所得中位數","戶數","總人數","女性比例","男性比例","少年人口比例","青年人口比例","壯年人口比例","老年人口比例","出生數","出生數.男","出生數.女","結婚對數","離婚對數","有偶人數","有偶比例","每戶平均用電度數","每人平均用電度數"
"高雄市","鳳山區鳳崗里",571984,10407,1171,0.1042,0.2929,0.6029,"378","341950","905","674",561,1344,0.5141,0.4859,0.1711,0.2805,0.3966,0.1518,0,0,0,0,0,318,58.03,1019.58,425.58
"高雄市","鳳山區福誠里",1568359,10407,3905,0.0722,0.2528,0.675,"1080","890472","825","623",1805,4609,0.5183,0.4817,0.24,0.3174,0.3545,0.0881,5,3,2,3,0,1097,60.08,868.9,340.28
"高雄市","鳳山區福祥里",1416742,10407,2860,0.0444,0.2178,0.7378,"798","721910","905","573",1232,3419,0.5051,0.4949,0.2363,0.2977,0.3656,0.1003,7,3,4,4,1,767,62.51,1149.95,414.37
"高雄市","鳳山區福興里",2213013,10407,6021,0.039,0.2131,0.7479,"1650","1170633","709","562",2541,7190,0.5104,0.4896,0.2298,0.3192,0.3456,0.1054,10,3,7,4,4,1537,60.61,870.92,307.79
"高雄市","鳳山區富甲里",836301,10407,2606,0.0192,0.1374,0.8434,"498","335191","673","502",1323,2852,0.4583,0.5417,0.1673,0.2763,0.4281,0.1283,1,0,1,1,3,543,41.04,632.12,293.23
"高雄市","鳳山區富榮里",965231,10407,2546,0.0463,0.2687,0.685,"667","538336","807","594",1056,2952,0.4946,0.5054,0.2232,0.3455,0.3584,0.0728,5,3,2,1,0,664,63.06,914.04,326.98
"高雄市","鳳山區光明里",787668,10407,1400,0.0607,0.2671,0.6721,"403","397935","987","568",660,1534,0.4883,0.5117,0.1428,0.2934,0.397,0.1669,2,1,1,1,2,368,55.59,1193.44,513.47
"高雄市","鳳山區國富里",1127553,10407,2698,0.0708,0.2787,0.6505,"815","719293","883","716",1145,2956,0.5227,0.4773,0.1881,0.341,0.3992,0.0717,2,1,1,5,1,723,62.98,984.76,381.45
"高雄市","鳳山區國光里",910487,10407,3477,0.0541,0.2399,0.7061,"1071","747745","698","526",1532,3816,0.5142,0.4858,0.1428,0.3488,0.4078,0.1006,5,2,3,2,2,889,58.1,594.31,238.6
"高雄市","鳳山區國隆里",849659,10407,2644,0.0427,0.2228,0.7345,"798","542593","680","510",1208,2901,0.5016,0.4984,0.1348,0.3702,0.4102,0.0848,3,3,0,3,2,637,52.64,703.36,292.88
"高雄市","鳳山區國泰里",1534751,10407,4021,0.0547,0.2497,0.6956,"1216","917910","755","583",1825,4425,0.5001,0.4999,0.1498,0.3428,0.4038,0.1035,6,2,4,3,2,1070,58.41,840.96,346.84
"高雄市","鳳山區過埤里",6895891,10407,12045,0.0715,0.2678,0.6607,"3511","3050790","869","721",5623,14116,0.4923,0.5077,0.233,0.3891,0.33,0.0479,29,17,12,13,8,3876,67.86,1226.37,488.52
"高雄市","鳳山區海光里",1221295,10407,3201,0.0553,0.2521,0.6926,"1306","925559","695.5","545.5",1356,3646,0.5107,0.4893,0.198,0.3151,0.3886,0.0982,2,2,0,1,0,784,57.99,900.66,334.97
"高雄市","鳳山區海洋里",1696735,10407,3945,0.0601,0.2753,0.6646,"1125","967894","860","616",1684,4572,0.5199,0.4801,0.2283,0.3196,0.3887,0.0634,5,1,4,1,1,1110,65.6,1007.56,371.11
"高雄市","鳳山區和德里",823628,10407,2083,0.0715,0.2799,0.6486,"629","555565","883","698",1014,2717,0.5318,0.4682,0.3029,0.3095,0.311,0.0766,4,3,1,2,2,623,61.68,812.26,303.14
"高雄市","鳳山區和興里",1953156,10407,5177,0.0636,0.2673,0.6691,"1448","1240500","857","619",2265,6703,0.5204,0.4796,0.2975,0.2793,0.3319,0.0913,4,3,1,3,1,1478,65.86,862.32,291.39
"高雄市","鳳山區老爺里",3458947,10407,7075,0.0444,0.2216,0.734,"1978","1433971","725","570",3012,7942,0.4997,0.5003,0.1869,0.3454,0.3775,0.0903,9,4,5,6,5,1821,60.44,1148.39,435.53
"高雄市","鳳山區龍成里",1340886,10407,2980,0.0513,0.2148,0.7339,"815","609927","748","568",1299,3320,0.4967,0.5033,0.1816,0.3392,0.3813,0.0979,5,3,2,0,1,774,59.77,1032.24,403.88
"高雄市","鳳山區南成里",3916776,10407,7663,0.0586,0.2393,0.7021,"2266","1814368","801","618",3387,9399,0.4988,0.5012,0.2682,0.3463,0.3239,0.0616,27,14,13,7,5,2259,65.92,1156.41,416.72
"高雄市","鳳山區南和里",1301667,10407,2809,0.042,0.2268,0.7312,"738","535774","726","550",1195,3305,0.5123,0.4877,0.2348,0.3062,0.3467,0.1123,6,5,1,1,1,723,60.3,1089.26,393.85
"高雄市","鳳山區南興里",527037,10407,968,0.0651,0.2696,0.6653,"267","204633","766","581",498,1170,0.4915,0.5085,0.2214,0.2735,0.3547,0.1504,1,1,0,0,0,290,58.82,1058.31,450.46
"高雄市","鳳山區埤頂里",2604913,10407,6210,0.0491,0.253,0.6979,"1665","1249063","750","578",2676,7215,0.5112,0.4888,0.2194,0.3152,0.3631,0.1023,7,4,3,3,1,1625,60.3,973.44,361.04
"高雄市","鳳山區瑞興里",2014439,10407,5033,0.0612,0.2658,0.673,"1357","1158588","854","666",2203,5928,0.5263,0.4737,0.2584,0.2686,0.3816,0.0914,7,4,3,9,2,1301,59.14,914.41,339.82
"高雄市","鳳山區瑞竹里",2378284,10407,5186,0.0521,0.2403,0.7077,"1390","1074508","773","564",2244,6138,0.5002,0.4998,0.2283,0.2819,0.362,0.1279,8,4,4,4,0,1344,59.89,1059.84,387.47
"高雄市","鳳山區三民里",615914,10407,1090,0.0798,0.2798,0.6404,"341","279252","819","633",472,1232,0.5041,0.4959,0.1859,0.2841,0.3912,0.1388,5,3,2,3,1,296,63.25,1304.9,499.93
"高雄市","鳳山區善美里",2449717,10407,5621,0.0505,0.2272,0.7223,"1619","1268466","783","582",2452,6256,0.5053,0.4947,0.1894,0.3307,0.4012,0.0786,8,6,2,4,1,1449,59.14,999.07,391.58
"高雄市","鳳山區生明里",942558,10407,2132,0.0488,0.243,0.7083,"554","421583","761","566",929,2379,0.5057,0.4943,0.1854,0.2997,0.4006,0.1143,1,1,0,1,1,533,57.25,1014.59,396.2
"高雄市","鳳山區天興里",1385424,10407,3607,0.043,0.2193,0.7377,"1063","754821","710","536",1505,4102,0.5076,0.4924,0.1899,0.3379,0.3613,0.1109,5,1,4,4,2,893,59.1,920.55,337.74
"高雄市","鳳山區文德里",4769591,10407,8772,0.1041,0.3105,0.5854,"2888","3195620","1107","741",4212,9816,0.5227,0.4773,0.2029,0.3137,0.4135,0.0699,14,6,8,10,6,2687,63.42,1132.38,485.9
"高雄市","鳳山區文福里",4152681,10407,9337,0.0797,0.2996,0.6208,"2815","2586185","919","698",4349,11250,0.5194,0.4806,0.2562,0.3269,0.3636,0.0533,20,7,13,12,6,2664,61.2,954.86,369.13
"高雄市","鳳山區文衡里",1978125,10407,4180,0.0864,0.31,0.6036,"1307","1226875","939","702",1980,4797,0.5324,0.4676,0.2108,0.3513,0.3644,0.0736,8,3,5,2,1,1227,61.81,999.05,412.37
"高雄市","鳳山區文華里",3992531,10407,8580,0.0774,0.2759,0.6467,"2417","2198288","910","656",3884,10470,0.526,0.474,0.2549,0.2979,0.337,0.1102,18,13,5,9,6,2354,60.59,1027.94,381.33
"高雄市","鳳山區文山里",2802744,10407,6287,0.0639,0.2515,0.6846,"1675","1400377","836","619",2695,7036,0.4979,0.5021,0.1869,0.3177,0.4043,0.0911,13,6,7,4,2,1651,61.13,1039.98,398.34
"高雄市","鳳山區文英里",1544371,10407,3438,0.062,0.2627,0.6754,"1005","814040","810","624",1487,3841,0.5079,0.4921,0.1911,0.3163,0.3866,0.106,12,5,7,3,0,906,60.81,1038.58,402.08
"高雄市","鳳山區五福里",1707514,10407,3147,0.0562,0.2304,0.7134,"926","711799","769","578",1388,3727,0.506,0.494,0.2291,0.3037,0.3515,0.1156,2,2,0,2,3,822,59.39,1230.2,458.15
"高雄市","鳳山區武漢里",1973630,10407,4866,0.0633,0.2499,0.6868,"1437","1180448","821","608",2111,5562,0.5041,0.4959,0.2096,0.3204,0.3869,0.0831,9,3,6,8,2,1326,62.25,934.93,354.84
"高雄市","鳳山區武慶里",1124488,10407,2441,0.0639,0.2368,0.6993,"717","559869","781","582",1059,2813,0.5037,0.4963,0.1959,0.3182,0.3914,0.0946,4,2,2,1,1,657,62.33,1061.84,399.75
"高雄市","鳳山區武松里",1264501,10407,2839,0.0504,0.2395,0.7101,"719","515440","717","545",1242,3114,0.4884,0.5116,0.159,0.3317,0.4043,0.105,4,3,1,4,0,692,55.54,1018.12,406.07
"高雄市","鳳山區縣口里",212244,10407,448,0.0737,0.2835,0.6429,"124","116807","942","542",242,511,0.5245,0.4755,0.1781,0.2838,0.3875,0.1507,3,1,2,0,0,130,53.5,877.04,415.35
"高雄市","鳳山區縣衙里",614009,10407,884,0.069,0.2692,0.6618,"259","198039","765","571",407,1004,0.507,0.493,0.1882,0.2629,0.3914,0.1574,2,1,1,0,0,230,56.37,1508.62,611.56
"高雄市","鳳山區協和里",1605031,10407,3702,0.0751,0.2642,0.6607,"1225","1120044","914","687",1659,4319,0.5177,0.4823,0.2091,0.3105,0.3749,0.1056,7,2,5,4,1,1004,60.77,967.47,371.62
