"縣市","統計年月","行政區域","售電量度數"
"高雄市",10407,"美濃區福安里","31544"
"高雄市",10407,"美濃區廣林里","103991"
"高雄市",10407,"美濃區廣德里","416741"
"高雄市",10407,"美濃區德興里","390591"
"高雄市",10407,"美濃區興隆里","264065"
"高雄市",10407,"美濃區龍山里","243151"
"高雄市",10407,"美濃區龍肚里","79590"
"高雄市",10407,"美濃區瀰濃里","727955"
"高雄市",10407,"茂林區多納里","95464"
"高雄市",10407,"茂林區茂林里","157275"
"高雄市",10407,"茂林區萬山里","59314"
"高雄市",10407,"路竹區三爺里","4914"
"高雄市",10407,"路竹區下坑里","18216"
"高雄市",10407,"路竹區文北里","940252"
"高雄市",10407,"路竹區文南里","342721"
"高雄市",10407,"路竹區甲北里","283086"
"高雄市",10407,"路竹區甲南里","1059849"
"高雄市",10407,"路竹區竹西里","936033"
"高雄市",10407,"路竹區竹東里","1537210"
"高雄市",10407,"路竹區竹南里","1337421"
"高雄市",10407,"路竹區竹園里","0"
"高雄市",10407,"路竹區竹滬里","40"
"高雄市",10407,"路竹區社中里","361806"
"高雄市",10407,"路竹區社西里","1149154"
"高雄市",10407,"路竹區社東里","573634"
"高雄市",10407,"路竹區社南里","1417463"
"高雄市",10407,"路竹區後鄉里","4164"
"高雄市",10407,"路竹區鴨寮里","4811"
"高雄市",10407,"六龜區大津里","48518"
"高雄市",10407,"六龜區中興里","266696"
"高雄市",10407,"六龜區六龜里","255038"
"高雄市",10407,"六龜區文武里","329999"
"高雄市",10407,"六龜區荖濃里","91852"
"高雄市",10407,"六龜區新威里","305196"
"高雄市",10407,"六龜區新發里","0"
"高雄市",10407,"六龜區新寮里","118014"
"高雄市",10407,"六龜區新興里","101083"
"高雄市",10407,"六龜區義寶里","369671"
"高雄市",10407,"六龜區興龍里","5266"
"高雄市",10407,"六龜區寶來里","254915"
"高雄市",10407,"苓雅區人和里","37120"
"高雄市",10407,"苓雅區中正里","21897"
"高雄市",10407,"苓雅區五福里","9826"
"高雄市",10407,"苓雅區五權里","1073"
"高雄市",10407,"苓雅區仁政里","5040"
"高雄市",10407,"苓雅區日中里","9880"
"高雄市",10407,"苓雅區正大里","60573"
"高雄市",10407,"苓雅區正仁里","716144"
"高雄市",10407,"苓雅區正文里","18831"
"高雄市",10407,"苓雅區正言里","0"
"高雄市",10407,"苓雅區正義里","795197"
"高雄市",10407,"苓雅區正道里","2159"
"高雄市",10407,"苓雅區民主里","3939"
"高雄市",10407,"苓雅區田西里","10354"
"高雄市",10407,"苓雅區同慶里","5911"
"高雄市",10407,"苓雅區安祥里","0"
"高雄市",10407,"苓雅區和煦里","6902"
"高雄市",10407,"苓雅區尚義里","0"
"高雄市",10407,"苓雅區林中里","5421"
"高雄市",10407,"苓雅區林安里","6308"
"高雄市",10407,"苓雅區林西里","2760"
"高雄市",10407,"苓雅區林南里","7557"
"高雄市",10407,"苓雅區林華里","12826"
"高雄市",10407,"苓雅區城北里","8336"
"高雄市",10407,"苓雅區城東里","13681"
"高雄市",10407,"苓雅區奏捷里","7760"
"高雄市",10407,"苓雅區建軍里","764513"
"高雄市",10407,"苓雅區苓中里","560"
"高雄市",10407,"苓雅區苓東里","0"
"高雄市",10407,"苓雅區苓洲里","13400"
"高雄市",10407,"苓雅區凱旋里","8400"
"高雄市",10407,"苓雅區博仁里","8960"
"高雄市",10407,"苓雅區華堂里","10136"
"高雄市",10407,"苓雅區意誠里","75131"
"高雄市",10407,"苓雅區鼓中里","8403"
"高雄市",10407,"苓雅區福人里","300"
"高雄市",10407,"苓雅區福西里","6103"
"高雄市",10407,"苓雅區福居里","14280"
"高雄市",10407,"苓雅區福東里","1988"
"高雄市",10407,"苓雅區福南里","5440"
"高雄市",10407,"苓雅區福祥里","9296"
"高雄市",10407,"苓雅區廣澤里","70720"
"高雄市",10407,"苓雅區衛武里","658983"
"高雄市",10407,"林園區中汕里","489343"
"高雄市",10407,"林園區中芸里","763704"
"高雄市",10407,"林園區中門里","947269"
"高雄市",10407,"林園區五福里","4716"
"高雄市",10407,"林園區仁愛里","3783"
"高雄市",10407,"林園區文賢里","28819"
"高雄市",10407,"林園區王公里","645406"
"高雄市",10407,"林園區北汕里","473780"
"高雄市",10407,"林園區西汕里","114029"
"高雄市",10407,"林園區西溪里","964476"
"高雄市",10407,"林園區東汕里","172290"
"高雄市",10407,"林園區東林里","801043"
"高雄市",10407,"林園區林家里","363620"
"高雄市",10407,"林園區林園里","1065034"
"高雄市",10407,"林園區頂厝里","1673096"
"高雄市",10407,"林園區港埔里","738907"
"高雄市",10407,"林園區港嘴里","506873"
"高雄市",10407,"林園區溪州里","14985"
"高雄市",10407,"林園區鳳芸里","662487"
"高雄市",10407,"林園區廣應里","191003"
"高雄市",10407,"林園區潭頭里","9144"
"高雄市",10407,"林園區龔厝里","684202"
"高雄市",10407,"甲仙區大田里","5320"
"高雄市",10407,"甲仙區西安里","250100"
"高雄市",10407,"甲仙區和安里","183399"
"高雄市",10407,"甲仙區東安里","95670"
"高雄市",10407,"茄萣區大定里","447"
"高雄市",10407,"茄萣區白雲里","931433"
"高雄市",10407,"茄萣區光定里","273"
"高雄市",10407,"茄萣區吉定里","3949"
"高雄市",10407,"茄萣區和協里","213881"
"高雄市",10407,"茄萣區保定里","1777"
"高雄市",10407,"茄萣區崎漏里","819"
"高雄市",10407,"茄萣區萬福里","270274"
"高雄市",10407,"茄萣區嘉安里","658412"
"高雄市",10407,"茄萣區嘉定里","13980"
"高雄市",10407,"茄萣區嘉泰里","664703"
"高雄市",10407,"茄萣區嘉福里","292979"
"高雄市",10407,"茄萣區嘉樂里","615497"
"高雄市",10407,"茄萣區嘉賜里","1385477"
"高雄市",10407,"茄萣區福德里","251089"
"高雄市",10407,"湖內區大湖里","2061608"
"高雄市",10407,"湖內區中賢里","5712"
"高雄市",10407,"湖內區公館里","956459"
"高雄市",10407,"湖內區太爺里","439600"
"高雄市",10407,"湖內區田尾里","416586"
"高雄市",10407,"湖內區海埔里","339212"
"高雄市",10407,"湖內區湖內里","647215"
"高雄市",10407,"湖內區湖東里","1503230"
"高雄市",10407,"湖內區逸賢里","5219"
"高雄市",10407,"湖內區葉厝里","178210"
"高雄市",10407,"鼓山區山下里","651954"
"高雄市",10407,"鼓山區內惟里","570083"
"高雄市",10407,"鼓山區平和里","1352125"
"高雄市",10407,"鼓山區正德里","734905"
"高雄市",10407,"鼓山區民強里","975474"
"高雄市",10407,"鼓山區民族里","496026"
"高雄市",10407,"鼓山區光化里","424377"
"高雄市",10407,"鼓山區光榮里","1453410"
"高雄市",10407,"鼓山區自強里","332507"
"高雄市",10407,"鼓山區延平里","440517"
"高雄市",10407,"鼓山區忠正里","1399354"
"高雄市",10407,"鼓山區明誠里","8222296"
"高雄市",10407,"鼓山區河邊里","518497"
"高雄市",10407,"鼓山區前峰里","1806840"
"高雄市",10407,"鼓山區厚生里","1257961"
"高雄市",10407,"鼓山區建國里","970665"
"高雄市",10407,"鼓山區哨船頭里","575680"
"高雄市",10407,"鼓山區峰南里","412360"
"高雄市",10407,"鼓山區桃源里","104088"
"高雄市",10407,"鼓山區惠安里","608160"
"高雄市",10407,"鼓山區登山里","285817"
"高雄市",10407,"鼓山區華豐里","1977934"
"高雄市",10407,"鼓山區雄峰里","738300"
"高雄市",10407,"鼓山區新民里","462993"
"高雄市",10407,"鼓山區裕興里","1621082"
"高雄市",10407,"鼓山區裕豐里","1213521"
"高雄市",10407,"鼓山區鼓岩里","350385"
"高雄市",10407,"鼓山區鼓峰里","690994"
"高雄市",10407,"鼓山區壽山里","586700"
"高雄市",10407,"鼓山區綠川里","506146"
"高雄市",10407,"鼓山區維生里","694866"
"高雄市",10407,"鼓山區樹德里","484612"
"高雄市",10407,"鼓山區興宗里","509104"
"高雄市",10407,"鼓山區龍子里","8005555"
"高雄市",10407,"鼓山區龍井里","426258"
"高雄市",10407,"鼓山區龍水里","11118287"
"高雄市",10407,"鼓山區麗興里","474371"
"高雄市",10407,"鼓山區寶樹里","355852"
"高雄市",10407,"岡山區三和里","16898"
"高雄市",10407,"岡山區大莊里","7174"
"高雄市",10407,"岡山區大遼里","482383"
"高雄市",10407,"岡山區仁義里","946221"
"高雄市",10407,"岡山區仁壽里","53600"
"高雄市",10407,"岡山區台上里","2002319"
"高雄市",10407,"岡山區平安里","770867"
"高雄市",10407,"岡山區本洲里","5102"
"高雄市",10407,"岡山區白米里","491637"
"高雄市",10407,"岡山區石潭里","864580"
"高雄市",10407,"岡山區竹圍里","2948208"
"高雄市",10407,"岡山區協榮里","22901"
"高雄市",10407,"岡山區和平里","144117"
